Artikelnummer (AR+[ID])	Artikelnummer Systemfremd	Artikelgruppe	Artikelname Vermietung	Artikelkurzbeschreibung Vermietung	Vermietpreis Min	Vermietpreis Soll	Vermietpreis UVP	Artikelname Verkauf	Artikelkurzbeschreibung Verkauf	Herstellerfirma	Verkaufpreis Min	Verkaufpreis Soll	Verkaufpreis UVP	ArtikelSeriennummer	Equipments	Eigene Equipments	Anzahl fremde Equipments	In Werkstatt	Equipments verkauft	EK netto	Anmietpreis	H?he [mm]	Breite [mm]	L?nge [mm]	Gewicht [kg]	Anschlussleistung [W]	
AR305	 - 	Scheinwerfer Led	Expolite TourLED 50 XCR RGBW IP65	Expolite TourLED 50 XCR RGBW IP65 schwarz (3pol DMX) TV-Zapfen 16mm mit M10 Gewindebolzen Manfrotto Superclamp MA035 fu&#776;r 16mm TV-Zapfen, max. 15kg Transportkiste fu&#776;r 12x Tourled 42	25	30	35	ExpoLite TourLED 	ExpoLite TourLED 42 cm WP MK II, schwarz (3pol DMX) TV-Zapfen 16mm mit M10 Gewindebolzen Manfrotto Superclamp MA035 fu&#776;r 16mm TV-Zapfen, max. 15kg Transportkiste fu&#776;r 12x Tourled 42	NULL	 - 	 - 	 - 	 - 	12	0	12	0	0	 - 	 - 	292	224	205	4.800	0
AR400	 - 	Scheinwerfer Led	Scheinwerfer Led BBP66 Akku 	Scheinwerfer Led BBP66 Akku  6x 6W 4-in-1 RGBW	15	20	25	Scheinwerfer Led BBP66 Akku 	Scheinwerfer Led BBP66 Akku  6x 6W 4-in-1 RGBW	NULL	 - 	 - 	 - 	 - 	12	12	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR403	 - 	Scheinwerfer Led	BBP66 Battery Uplight Par	BBP66 Battery Uplight Par 6x 6W 4-in-1 RGBW LED Bis zu 10 Stunden Betriebszeit (abhängig von der Intensität) Schnelle Wiederaufladezeit von nur 4 Stunden DMX und Stand-alone modus 6 order 11 DMX Kanäle	15	20	25	BBP66 Battery Uplight Par	BBP66 Battery Uplight Par 6x 6W 4-in-1 RGBW LED Bis zu 10 Stunden Betriebszeit (abhängig von der Intensität) Schnelle Wiederaufladezeit von nur 4 Stunden DMX und Stand-alone modus 6 order 11 DMX Kanäle	NULL	 - 	 - 	 - 	 - 	12	12	0	0	0	 - 	 - 	180	140	185	2.900	0
AR404	 - 	Scheinwerfer Led	BAC302 Aluminium LED Par	BAC302 Aluminium LED Par	10	12	15	BAC302 Aluminium LED Par	BAC302 Aluminium LED Par	NULL	 - 	 - 	 - 	 - 	10	10	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR405	 - 	Scheinwerfer Led	 BBP94 Battery Uplight Par 4x 10W	BBP94 Battery Uplight Par 4x 10W 	8	10	15	 BBP94 Battery Uplight Par 4x 10W	BBP94 Battery Uplight Par 4x 10W 	NULL	 - 	 - 	 - 	 - 	2	2	0	0	0	 - 	 - 	130	130	120	2.300	0
AR409	 - 	Scheinwerfer Led	ADJ Encore Profile 1000 Color	ADJ Encore Profile 1000 Color	20	25	35	ADJ Encore Profile 1000 Color	ADJ Encore Profile 1000 Color	NULL	 - 	 - 	 - 	 - 	2	2	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR140	 - 	Stativ - Sonstiges	Keyboardstand  Double	Keyboardstand  Double	10	12.50	15	Keyboardstand  Double	Keyboardstand  Double	NULL	 - 	6.64	 - 	 - 	5	5	0	0	1	 - 	 - 	 - 	 - 	 - 	0.000	0
AR148	 - 	Stativ - Sonstiges	Keyboard X-StÃ¤nder double	Keyboard X-Ständer	 - 	2.50	 - 	MILLENIUM KS-1010	Keyboard X-Ständer	NULL	 - 	 - 	 - 	 - 	5	5	0	0	0	 - 	 - 	 - 	 - 	 - 	1.000	0
AR149	 - 	Stativ - Sonstiges	NotenstÃ¤nder/ Notebookst. Massiv	Notenständer/ Notebookst. Massiv	 - 	1,50	 - 	NotenstÃ¤nder/ Notebookst. Massiv	Notenständer/ Notebookst. Massiv	NULL	 - 	20	 - 	 - 	6	6	0	0	0	12	 - 	 - 	 - 	 - 	1.000	0
AR159	 - 	Stativ - Sonstiges	DAP Guitar Stand	    Universell für elektrische und akustische Gitarren geeignet     Automatische Verriegelung     Anpassbare Höhe:: 70 - 105 cm	1,50	2,50	3	DAP Guitar Stand	    Universell für elektrische und akustische Gitarren geeignet     Automatische Verriegelung     Anpassbare Höhe:: 70 - 105 cm	Highlite	33	35	37	 - 	2	2	0	0	0	21,50	 - 	700	100	100	0.900	0
AR385	 - 	Stativ - Sonstiges	Key Stand Einfach	Key Stand Einfach	 - 	2.50	 - 	Key Stand Einfach	Key Stand Einfach	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	3.000	0
AR433	 - 	Stativ - Sonstiges	Guitarstand Autogrip	Guitarstand Autogrip	 - 	5	 - 	Guitarstand Autogrip	Guitarstand Autogrip	NULL	 - 	 - 	 - 	 - 	3	0	3	0	0	 - 	 - 	 - 	 - 	 - 	2.000	0
AR475	 - 	Stativ - Sonstiges	Gravity GS 01 NHB 	Gravity GS 01 NHB  Stabile und haltbare Konstruktion Ergonomische und sichere Handhabung Kompakter Transport Innovativer "Neckhug"	2	2.5	3	Gravity GS 01 NHB 	Gravity GS 01 NHB  Stabile und haltbare Konstruktion Ergonomische und sichere Handhabung Kompakter Transport Innovativer "Neckhug"	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	1.641	0
AR615	 - 	Stativ - Sonstiges	K&M SINGLE X-frame double-braced KeyStand Rick	K&M SINGLE X-frame double-braced KeyStand Rick	 - 	5	 - 	K&M SINGLE X-frame double-braced KeyStand Rick	K&M SINGLE X-frame double-braced KeyStand Rick	NULL	 - 	 - 	 - 	 - 	2	0	2	0	0	 - 	 - 	 - 	 - 	 - 	0.000	2
AR616	 - 	Stativ - Sonstiges	K&M 18950 KeyboardstÃ¤nder/Klapptisch	K&M 18950 Keyboardständer/Klapptisch	 - 	5	 - 	K&M 18950 KeyboardstÃ¤nder/Klapptisch	K&M 18950 Keyboardständer/Klapptisch	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	2	 - 	 - 	 - 	 - 	0.000	0
AR617	 - 	Stativ - Sonstiges	K&M 18952 Keyboard-Aufsatz fÃ¼r 18950 	K&M 18952 Keyboard-Aufsatz für 18950 	 - 	5	 - 	K&M 18952 Keyboard-Aufsatz fÃ¼r 18950 	K&M 18952 Keyboard-Aufsatz für 18950 	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	1.6	 - 	 - 	 - 	 - 	0.000	0
AR618	 - 	Stativ - Sonstiges	Black Woodboard/ for Laptop on Key stand	Black Woodboard/ for Laptop on Key stand	 - 	1.6	 - 	Black Woodboard/ for Laptop on Key stand	Black Woodboard/ for Laptop on Key stand	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	0.8	 - 	 - 	 - 	 - 	0.000	0
AR620	 - 	Stativ - Sonstiges	Hercules GS414B Guitar Stand	Hercules GS414B Guitar Stand	 - 	3.5	 - 	Hercules GS414B Guitar Stand	Hercules GS414B Guitar Stand	NULL	 - 	 - 	 - 	 - 	4	0	4	0	0	1	 - 	 - 	 - 	 - 	0.000	0
AR640	 - 	Stativ - Sonstiges	Notenpultbeleuchtung	Notenpultbeleuchtung	1	1.5	2	Notenpultbeleuchtung	Notenpultbeleuchtung	NULL	 - 	 - 	 - 	 - 	6	6	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR679	 - 	Stativ - Sonstiges	KeyboardstÃ¤nder SKS 05 Universal	Keyboardständer SKS 05 Universal	5	8	10	KeyboardstÃ¤nder SKS 05 Universal	Keyboardständer SKS 05 Universal	Adam Hall	 - 	 - 	 - 	 - 	1	1	0	0	0	39.30	 - 	80	610	460	0.000	0
AR680	 - 	Stativ - Sonstiges	KeyboardstÃ¤nderaufsatz  SKS 024 	Keyboardständeraufsatz  SKS 024 	3	4	5	KeyboardstÃ¤nder SKS 05 Universal	Keyboardständer SKS 05 Universal	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	19.36	 - 	 - 	 - 	 - 	2.000	0
AR781	 - 	Stativ - Sonstiges	 Gravity LTS T 02 W	 Gravity LTS T 02 W Universal Laptop-Ständer mit verstellbaren Haltepins und Stahlfuß 	 - 	5	7.5	 Gravity LTS T 02 W	 Gravity LTS T 02 W Universal Laptop-Ständer mit verstellbaren Haltepins und Stahlfuß 	NULL	 - 	 - 	 - 	 - 	2	2	0	0	0	 - 	 - 	 - 	 - 	 - 	11.600	0
AR822	 - 	Stativ - Sonstiges	BodenstÃ¤nder fÃ¼r Led Screen	Bodenständer für Led Screen	 - 	 - 	 - 	BodenstÃ¤nder fÃ¼r Led Screen	Bodenständer für Led Screen	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR163	 - 	Stative - Lautsprecher	LS Stative mit Bodenplatte	Höhe min.: 1420 mm Höhe max.: 2420 mm Transportlänge: 1420 mm Abmessung Standfuß (B x H x T): 563 x 563 x 15 mm 	5	7	10	LS Stative mit Bodenplatte	Material Rohre: Stahl Farbe Rohre: schwarz Oberfläche Rohre: pulverbeschichtet Höhe min.: 1420 mm Höhe max.: 2420 mm Transportlänge: 1420 mm Höhenverstellung: Arretierschraube und Sicherungssplint Anzahl Auszüge: 1 Material Sockel: Stahl Material Höhenverstellung: Stahl Abmessung Standfuß (B x H x T): 563 x 563 x 15 mm Gewicht Sockel: 14 kg	NULL	 - 	 - 	 - 	 - 	18	18	0	0	0	 - 	 - 	 - 	 - 	 - 	14.000	0
AR458	 - 	Stative - Lautsprecher	Distanzrohr Kurbel Lautsprecher Stativ 	Höhe: von 920 bis 1.520 mm Rohrende(n): Ring Lock 35 bis 37 mm, Gewindebolzen M20 Rohrkombination: 1-fach ausziehbar  	 - 	2	2.50	Distanzrohr Kurbel Lautsprecher Stativ 	Höhe: von 920 bis 1.520 mm Rohrende(n): Ring Lock 35 bis 37 mm, Gewindebolzen M20 Rohrkombination: 1-fach ausziehbar 	NULL	 - 	 - 	 - 	 - 	10	4	6	0	0	 - 	 - 	 - 	 - 	 - 	3.800	0
AR542	 - 	Stative - Lautsprecher	Distanzstange, zur Verbindung von Satellitensystem	Höhe: von 980 bis 1.470 mm Höhenverstellung: Rastbolzen und Sicherungsschraube Material: Stahl Rohrende(n): »Ring Lock« ø 35 bis 37 mm Rohrkombination: 1-fach ausziehbar	5	7	10	Distanzstange, zur Verbindung von Satellitensystem	Höhe: von 980 bis 1.470 mm Höhenverstellung: Rastbolzen und Sicherungsschraube Material: Stahl Rohrende(n): »Ring Lock« ø 35 bis 37 mm Rohrkombination: 1-fach ausziehbar	NULL	 - 	 - 	 - 	 - 	18	18	0	0	0	 - 	 - 	 - 	 - 	 - 	2.800	0
AR543	 - 	Stative - Lautsprecher	LS Stative Einfach K&M	Höhenverstellbar von 1320 bis 1900 mm Mittels oberflächenschonender Klemmschraube GS-Geprüft Bis 35 kg zentrische Belastung	5	7	10	LS Stative Einfach K&M	Höhenverstellbar von 1320 bis 1900 mm Mittels oberflächenschonender Klemmschraube GS-Geprüft Bis 35 kg zentrische Belastung	NULL	 - 	 - 	 - 	 - 	5	5	0	0	0	 - 	 - 	 - 	 - 	 - 	14.000	0
AR864	 - 	Stative - Lautsprecher	OMNITRONIC BPS-2 BoxenhochstÃ¤nder schwarz	    Rohrdurchmesser: Ø 35 mm     Höhe verstellbar, mit Sicherungsbolzen     Zentrisch belastbar: 18 kg     Stabile Metallausführung     Höhenverstellbar     Kratz- und stoßfest     In verschiedenen Farben erhältlich     M20 Gewinde	0.0	5	0.0	OMNITRONIC BPS-2 BoxenhochstÃ¤nder schwarz	    Rohrdurchmesser: Ø 35 mm     Höhe verstellbar, mit Sicherungsbolzen     Zentrisch belastbar: 18 kg     Stabile Metallausführung     Höhenverstellbar     Kratz- und stoßfest     In verschiedenen Farben erhältlich     M20 Gewinde	NULL	0.0	99	0.0	 - 	2	0	2	0	0	62.9	 - 	0.0	0.0	0.0	0.000	0
AR882	 - 	Stative - Lautsprecher	INTUSONIC VESA75-100PRO-W	Maximale Tragfähigkeit: 15 kg Aufnahmesystem: VESA-Standard Typ (Stative allgemein): Wandhalter (Boxen) Material: Stahl (pulverbeschichtet) Farbe: Weiß, lackier	0.0	0.0	0.0	INTUSONIC VESA75-100PRO-W	Maximale Tragfähigkeit: 15 kg Aufnahmesystem: VESA-Standard Typ (Stative allgemein): Wandhalter (Boxen) Material: Stahl (pulverbeschichtet) Farbe: Weiß, lackier	NULL	0.0	28	0.0	18.5	6	0	6	0	0	18.5	18.5	0.0	0.0	0.0	0.000	0
AR925	 - 	Stative - Lautsprecher	INTUSONIC SUSP-M6-B	INTUSONIC SUSP-M6-B Lautsprecherhalterung M6 schwarz/weiß	0.0	0.0	0.0	INTUSONIC SUSP-M6	INTUSONIC SUSP-M6-B Lautsprecherhalterung M6 schwarz/weiß	NULL	0.0	25	0.0	 - 	6	0	6	0	0	14.9	 - 	170	100	40	0.350	0
AR983	 - 	Stative - Lautsprecher	CELTO ACOUSTIQUE WMBRKT20 	CELTO ACOUSTIQUE WMBRKT20 	0.0	0.0	0.0	CELTO ACOUSTIQUE WMBRKT20 	CELTO ACOUSTIQUE WMBRKT20 	NULL	0.0	59	0.0	 - 	4	0	4	0	0	39	 - 	0.0	0.0	0.0	0.000	0
AR197	 - 	Stative - Licht	Lichtstativ TV Manfrotto 3,50	Stativ Licht 3,50mLichtstativ: professionelles Stativ für Location oder Studio Shoots	5	7,50	10	Lichtstativ TV Manfrotto 3,50	Lichtstativ TV Manfrotto 3,50	NULL	 - 	 - 	 - 	 - 	12	12	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR206	 - 	Stative - Licht	VMB - TE-086B Kurbelstativ Max. 300kg, HÃ¶he 650cm 	VMB - TE-086B Kurbelstativ Max. 300kg, Höhe 650cm Teleskoplift           Max. Tragkraft: 300kg     Sicherheit: ALS auto-lock     Arbeitsfläche: 2,3 x 2,3m     Transporthöhe: 1,87m     Winde: 900kg     Aufnahme: 50mm     Gewicht: 129kg	50	60	70	VMB - TE-086B Kurbelstativ Max. 300kg, HÃ¶he 650cm 	VMB - TE-086B Kurbelstativ Max. 300kg, Höhe 650cm Teleskoplift	NULL	 - 	 - 	 - 	 - 	8	8	0	0	0	 - 	 - 	1.87	 - 	 - 	129.000	0
AR460	 - 	Stative - Licht	Gravity LS 431 B	     Großer, schwerer Stahlfuß für sicheren Stand     Fuß mit 3 M20-Innengewinden     35 mm Auszugsrohr mit M10-Innengewinde     2,4 m maximale Höhe  	4	7.5	10	Lichtstativ	Lichtstativ	NULL	 - 	 - 	 - 	 - 	10	10	0	0	0	112.42	 - 	 - 	 - 	 - 	18.000	0
AR716	 - 	Stative - Licht	KÃ¶nig&Meyer Leuchtenstativ mit Sockelplatte, 240cm	König&Meyer Leuchtenstativ mit Sockelplatte, 240cm, schwarz	 - 	12	 - 	KÃ¶nig&Meyer Leuchtenstativ mit Sockelplatte, 240cm	König&Meyer Leuchtenstativ mit Sockelplatte, 240cm, schwarz	NULL	 - 	 - 	 - 	 - 	4	0	4	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR795	 - 	Stative - Licht	Manfrotto Lichtstativ 626BUP	Lichtstativ Manfrotto 626BUP, Höhe bis 3,3m, Last max. 40kg, schwarz	 - 	5	 - 	Manfrotto Lichtstativ 626BUP	Lichtstativ Manfrotto 626BUP, Höhe bis 3,3m, Last max. 40kg, schwarz	NULL	 - 	5	 - 	 - 	2	0	2	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR150	 - 	Stative - Mikrofon	KM 25905 Mikrofonstativ Galge	ausziehbarer Schwenkarm: 460 - 765 mm Höhe: 380 - 600 mm Kunststoffsockel	 - 	1.5	 - 	KM 25905	Mikrostativ	NULL	 - 	 - 	 - 	 - 	30	30	0	0	0	 - 	 - 	 - 	 - 	 - 	1.400	0
AR160	 - 	Stative - Mikrofon	MikrofonstÃ¤nder Gravity MS 231 HB	Gravity MS 231 HB Mikrofonständer mit Tellerfuß und 1-Hand-Höhenverstellung Max. Höhe 175 cm, min. Höhe 108 cm	1.50	2.50	3	MikrofonstÃ¤nder Gravity MS 231 HB	Gravity MS 231 HB Mikrofonständer mit Tellerfuß und 1-Hand-Höhenverstellung Max. Höhe 175 cm, min. Höhe 108 cm	Adam Hall	43	45	49	 - 	9	9	0	0	0	25.00	 - 	 - 	 - 	 - 	0.000	0
AR257	Mikrofonstativ, Klein	Stative - Mikrofon	Table- /Floor microphone stand	Höhe: 285 - 400 mm Galgenausführung: ausziehbar Galgenlänge: 310 mm Aufstellmaß (ø): 200 x 200 mm	 - 	1.5	 - 	Table- /Floor microphone stand	Mikrofonstativ, Klein	NULL	 - 	 - 	 - 	 - 	30	30	0	0	0	 - 	 - 	 - 	 - 	 - 	1.400	0
AR474	 - 	Stative - Mikrofon	Gravity MS 2322 B 	Gravity MS 2322 B        Solide und langlebige Konstruktion     Extrem stabiler, standfester Fuß     2-Punkt Galgenverstellung     	1.5	2	3	Gravity MS 2322 B 	Gravity MS 2322 B        Solide und langlebige Konstruktion     Extrem stabiler, standfester Fuß     2-Punkt Galgenverstellung     	NULL	 - 	 - 	 - 	 - 	2	2	0	0	0	 - 	 - 	 - 	 - 	 - 	4.800	0
AR639	 - 	Stative - Mikrofon	Mikrofonstativ klein	Mikrofonstativ klein, Höhe maximal 0m, für z.b. Basedrum	2.5	4	6	Mikrofonstativ klein	Mikrofonstativ klein, Höhe maximal 0m, für z.b. Basedrum	NULL	 - 	 - 	 - 	 - 	10	10	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR77	 - 	Stromverteilung	Showgear PSA-16A3S	Nenn Strom A 16 A Stromeingangsstecker CEE5P 16 A Stromausgangs Stecker Schuko Socket MCB-Nennstrom 16 A	15	17.5	20	Stromverteiler 16A > 6x Schuko ungesichert	Stromverteiler 16A > 6x Schuko ungesichert	NULL	 - 	 - 	 - 	 - 	4	0	4	0	0	 - 	 - 	90	225	483	12.000	0
AR78	 - 	Stromverteilung	Stromverteiler 63A > 4x 16A, RCD	Stromverteiler 63A > 4x 16A, RCD	17,50	20	25	Stromverteiler 63A > 4x 16A, RCD	Stromverteiler 63A > 4x 16A, RCD	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR79	 - 	Stromverteilung	Showgear PSA-125A4C	Nenn Strom A 125 A Stromeingangsstecker CEE5P 125 A Stromausgangs Stecker CEE5P 63 A MCB-Nennstrom 63 A	70	80	100	Showgear PSA-125A4C	Showgear PSA-125A4C	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	267	400	482	20.000	0
AR89	 - 	Stromverteilung	KabelbrÃ¼cke	Kabelbrücke 4 kanalig 800mm x 550mm	5	5	10	KabelbrÃ¼cke	Kabelbrücke 4 kanalig 800mm x 550mm	NULL	 - 	 - 	 - 	 - 	100	100	0	0	0	 - 	 - 	60	550	800	17.000	0
AR107	 - 	Stromverteilung	Stromverteiler 63A	Stromverteiler 63A1x632A CEE in2x 32A out4x 16A out6x Schuko out RCBO	35	45	50	Stromverteiler 63A	Stromverteiler 63A1x632A CEE in2x 32A out4x 16A out6x Schuko out RCBO	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	405	420	535	24.450	0
AR108	 - 	Stromverteilung	Showtec PSA-125A4C	Showtec PSA-125A4CEingang: CEE, männlich, 3P+N+PE, 400 VAC, 50/60 Hz Ausgang: 4x CEE, 3P+N+PE, 400 VAC, 50/60 Hz MCB (1 Stk.) Leistung: 125A	40	60	70	Showtec PSA-125A4C	Eingang: CEE, männlich, 3P+N+PE, 400 VAC, 50/60 Hz Ausgang: 4x CEE, 3P+N+PE, 400 VAC, 50/60 Hz MCB (1 Stk.) Leistung: 125A	NULL	1300	1350	1439	 - 	1	1	0	0	0	855,00	 - 	390	483	275	19.400	0
AR242	 - 	Stromverteilung	Showtec Powersplit 32	Nenn Strom A 32 A Stromeingangsstecker CEE5P 32 A Stromausgangs Stecker Schuko Socke	 - 	7.5	 - 	Showtec Powersplit 32	Showtec Powersplit 32	NULL	 - 	89	 - 	 - 	5	5	0	0	0	76.9	 - 	165	125	455	4.500	0
AR243	 - 	Stromverteilung	Showtec PSA-63A4C Power Distributor	Nenn Strom A63 A Stromeingangsstecker CEE5P 63 A Stromausgangs Stecker CEE5P 32 A Kabel Länge 1.5 m MCB-Nennstrom 32 A	60	70	80	Showtec PSA-63A4C Power Distributor	digitale Spannungs-  Ampereüberwachung pro Phase	NULL	398	410	486	 - 	3	3	0	0	0	345.00	 - 	180	320	482	11.400	0
AR265	 - 	Stromverteilung	Elation UNI BAR - (Schuko output)	Elation UNI BAR - (Schuko output)	 - 	5	 - 	Elation UNI BAR - (Schuko output)	Elation UNI BAR - (Schuko output)	NULL	 - 	69.00	 - 	 - 	1	0	1	0	0	49	 - 	 - 	 - 	 - 	0.000	0
AR447	 - 	Stromverteilung	Steckdose 3 Fach Black	Steckdose 3 Fach Black	1.5	2.5	3	Steckdose 3 Fach Black	Steckdose 3 Fach Black	NULL	 - 	 - 	 - 	 - 	40	40	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR448	 - 	Stromverteilung	Steckdose 4 Fach IP65	Steckdose 4 Fach IP65	1.5	2.00	2.5	Steckdose 4 Fach IP65	Steckdose 4 Fach IP65	NULL	 - 	 - 	 - 	 - 	15	15	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR466	 - 	Stromverteilung	Showgear PSA-32A6C	Showgear PSA-32A6C Nenn Strom A 32 A Stromeingangsstecker CEE5P 32 A Stromausgangs Stecker CEE3P 16 A Kabel Länge 1.5 m MCB-Nennstrom 16 A	25	30	40	Showgear PSA-32A6C	Showgear PSA-32A6C Nenn Strom A 32 A Stromeingangsstecker CEE5P 32 A Stromausgangs Stecker CEE3P 16 A Kabel Länge 1.5 m MCB-Nennstrom 16 A	Highlite	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	490	140	255	7.600	0
AR551	 - 	Stromverteilung	Steckdosenleiste Schuko 5-Fach IP-20, 16A max	Steckdosenleiste Schuko 5-Fach IP-20, 16A max	1.5	2.00	2.5	Steckdosenleiste Schuko 5-Fach IP-20, 16A max	Steckdosenleiste Schuko 5-Fach IP-20, 16A max	NULL	 - 	 - 	 - 	 - 	40	40	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR724	 - 	Stromverteilung	EUROLITE Board 10-ST 10x Schutzkontakt 	EUROLITE Board 10-ST 10x Schutzkontakt 	5	10	10	EUROLITE Board 10-ST 10x Schutzkontakt 	EUROLITE Board 10-ST 10x Schutzkontakt 	NULL	99	110	119	 - 	1	0	1	0	0	64,90	 - 	 - 	 - 	 - 	0.000	0
AR776	 - 	Stromverteilung	Showgear BO-6-PW	Showgear BO-6-PW CEE 16 A to 6 Schuko's	5	7.5	10	Showgear BO-6-PW	Showgear BO-6-PW CEE 16 A to 6 Schuko's	NULL	 - 	 - 	 - 	 - 	4	4	0	0	0	 - 	 - 	120	150	265	0.000	0
AR791	 - 	Stromverteilung	Sicherheitsadapter 32A - 16A	Sicherheitsadapter 32A - 16A	7,50	10	15	Sicherheitsadapter 32A - 16A	Sicherheitsadapter 32A - 16A	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR846	 - 	Stromverteilung	X6 Schukoverteiler 6fach	X6 Schukoverteiler 6fach	 - 	0.5	 - 	X6 Schukoverteiler 6fach	X6 Schukoverteiler 6fach	NULL	 - 	 - 	 - 	 - 	10	0	10	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR910	 - 	Stromverteilung	APC USV 1500VA, 19"/2HE	APC USV 1500VA, 19"/2HE	0.0	25	0.0	APC USV 1500VA, 19"/2HE	APC USV 1500VA, 19"/2HE	NULL	0.0	0.0	0.0	17.5	3	2	1	0	0	0.0	17.5	0.0	0.0	0.0	0.000	0
AR998	 - 	Stromverteilung	APC UPS Usv 1500 Va 19"	APC UPS Usv 1500 Va 19"	0.0	26	0.0	APC UPS Usv 1500 Va 19"	APC UPS Usv 1500 Va 19"	NULL	0.0	0.0	0.0	 - 	2	0	2	0	0	0.0	 - 	0.0	0.0	0.0	0.000	0
AR117	 - 	Transport	LKW 7,5t	1 FLEX Firmenkunden 9,00 Tage 1080 € Genutzte Fahrzeuge: NE-QQ 1323  25.05.24 - 03.06.24  Abfahrt 154745 km Ankunft 156057 km  Gefahren insgesamt 1312 2 Haftungsreduzierung Gold 9,00 Tage 385,71 € 300 EUR SB 3 Auslandsfahrten Zone 2 1,00 X 42,02 € 42,02 € 4 Betankung 15,00 Liter 22,56 € 5 Servicegebühr Tanken 1,00 X 10,00 € 10,00 €  	 - 	1540.29	 - 	LKW 7,5t	 - 	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	0.0	 - 	 - 	 - 	 - 	0.000	0
AR118	 - 	Transport	PKW KLASSE 5 BMW 5	PKW KLASSE 5 BMW 5 Haftungsreduzierung aud 0,00€	 - 	130	 - 	PKW KLASSE 4 Kombi C Klasse Winterbereifung	PKW KLASSE 4 Kombi C Klasse Winterbereifung	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR119	 - 	Transport	PKW KLASSE 3	Tagestarif fur PKW - Counter Genutzte Fahrzeuge Vertragsnummer Kennz/KFZ 8061249 NE-QQ 1618 VW Passat Variant Haftungsreduzierung, Winterbereifung	 - 	40.4	 - 	PKW Kombi ( PASSAT, C Klasse, BMW 3 usw.)	Tagestarif fur PKW - Counter Genutzte Fahrzeuge Vertragsnummer Kennz/KFZ 8061249 NE-QQ 1618 VW Passat Variant Haftungsreduzierung, Winterbereifung	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR120	 - 	Transport	Transport/Sprit_2	1 T3 - MB Sprinter ML o.ä. 4,00 Tage  2 Versicherungspaket Business 4,00 Tage  3 wintertaugliche Bereifung 4 Zusatzkilometer  5 Sprit Voraussichtlich/ Endabrechnung  nach Rückgabe KM frei(800) Zusatz KM 800 5 Weiterberechung AdBlue	 - 	110	 - 	Spritkosten	Spritkosten	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	0.0	 - 	 - 	 - 	 - 	0.000	0
AR172	 - 	Transport	Fahrer mit PKW KLASSE 3  inkl. Spritkosten 	1 Tagestarif fu&#776;r PKW - Counter 2 Spritkosten 3 Fahrer 	 - 	297	 - 	PKW KLASSE 4 Kombi ( PASSAT, C Klasse, BMW 3 usw.)	1 Tagestarif fu&#776;r PKW - Counter 2 Wintertaugliche Bereifung 3 Haftungsreduzierung	NULL	 - 	 - 	 - 	 - 	2	2	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
